Outlier_Predict_Alive,outlier_Death,outlier_Predict_Death,Outlier_Alive,support,total_patients,fisherScore,seq
0.0,0.0,15.0,0.0,15,74,0.0,1125315 1174888 -1 1125315 -1 1125315 1174888 -1 1125315 -1  -2 
0.0,0.0,15.0,0.0,15,74,0.0,1125315 1174888 -1 1125315 1174888 -1 1125315 -1 1125315 -1  -2 
0.0,0.0,16.0,0.0,16,74,0.0,1125315 1174888 -1 1125315 1174888 -1 1125315 1174888 -1  -2 
0.0,0.0,17.0,0.0,17,74,0.0,1125315 -1 1125315 -1 1125315 -1 1125315 -1 1125315 -1  -2 
0.0,0.0,16.0,0.0,16,74,0.0,1125315 -1 1125315 -1 1125315 -1 1174888 -1 1125315 -1  -2 
0.0,0.0,17.0,0.0,17,74,0.0,1125315 -1 1125315 -1 1125315 -1 1125315 -1 1174888 -1  -2 
0.0,0.0,17.0,0.0,17,74,0.0,1125315 -1 1174888 -1 1125315 1174888 -1 1125315 -1  -2 
0.0,0.0,17.0,0.0,17,74,0.0,1125315 -1 1125315 -1 1174888 -1 1125315 -1 1174888 -1  -2 
0.0,0.0,15.0,0.0,15,74,0.0,1125315 -1 1125315 1174888 -1 1174888 -1 1125315 -1  -2 
0.0,0.0,16.0,0.0,16,74,0.0,956874 -1 956874 -1 1125315 -1 1125315 -1  -2 
0.0,0.0,16.0,0.0,16,74,0.0,956874 -1 1125315 -1 956874 -1 1125315 -1  -2 
0.0,0.0,16.0,0.0,16,74,0.0,956874 -1 956874 -1 1125315 1174888 -1  -2 
0.0,0.0,15.0,0.0,15,74,0.0,1125315 -1 1125315 -1 956874 -1 1125315 -1  -2 
0.0,0.0,16.0,0.0,16,74,0.0,956874 -1 1125315 1174888 -1 1125315 -1  -2 
0.0,0.0,15.0,0.0,15,74,0.0,1125315 1174888 -1 1125315 -1 956874 -1  -2 
0.0,0.0,16.0,0.0,16,74,0.0,1125315 1174888 -1 956874 -1 1125315 -1  -2 
0.0,0.0,16.0,0.0,16,74,0.0,974166 -1 1125315 1174888 -1 1125315 -1  -2 
0.0,0.0,15.0,0.0,15,74,0.0,974166 -1 1125315 -1 1125315 1174888 -1  -2 
0.0,0.0,15.0,0.0,15,74,0.0,1307046 -1 1125315 1174888 -1 1125315 -1  -2 
0.0,0.0,17.0,0.0,17,74,0.0,1539403 -1 1125315 -1 1125315 1174888 -1  -2 
0.0,0.0,16.0,0.0,16,74,0.0,956874 -1 956874 -1 956874 -1  -2 
0.0,0.0,17.0,0.0,17,74,0.0,1125315 -1 956874 -1 956874 -1  -2 
0.0,0.0,15.0,0.0,15,74,0.0,1125315 -1 1174888 -1 1124957 -1  -2 
0.0,0.0,16.0,0.0,16,74,0.0,1125315 -1 1174888 -1 1154343 -1  -2 
0.0,0.0,15.0,0.0,15,74,0.0,1125315 -1 1174888 -1 1322184 -1  -2 
0.0,0.0,17.0,0.0,17,74,0.0,1125315 -1 19121608 -1 19121608 -1  -2 
0.0,0.0,15.0,0.0,15,74,0.0,1154029 -1 708298 -1  -2 
0.0,0.0,19.0,0.0,19,74,0.0,708298 1154029 -1  -2 
0.0,0.0,17.0,0.0,17,74,0.0,1307046 -1 956874 -1  -2 
0.0,0.0,18.0,0.0,18,74,0.0,956874 -1 1742253 -1  -2 
0.0,0.0,18.0,0.0,18,74,0.0,19121608 -1 956874 -1  -2 
0.0,0.0,16.0,0.0,16,74,0.0,19001311 -1 19001311 -1  -2 
0.0,0.0,20.0,0.0,20,74,0.0,586413 -1  -2 
0.0,0.0,18.0,0.0,18,74,0.0,744740 -1  -2 
0.0,0.0,15.0,0.0,15,74,0.0,791967 -1  -2 
0.0,0.0,29.0,0.0,29,74,0.0,1000560 -1  -2 
