Outlier_Predict_Alive,outlier_Death,outlier_Predict_Death,Outlier_Alive,support,total_patients,fisherScore,seq
0.0,0.0,8.0,0.0,8,74,0.0,1125315 -1 1125315 -1 1125315 -1 1174888 -1 1125315 -1 1125315 -1 1125315 1174888 -1 1174888 -1  -2 
0.0,0.0,8.0,0.0,8,74,0.0,1125315 -1 1125315 -1 1174888 -1 1125315 -1 1125315 -1 1125315 1174888 -1 1125315 1174888 -1  -2 
0.0,0.0,8.0,0.0,8,74,0.0,956874 -1 1539403 -1 1125315 1174888 -1 1125315 -1 1125315 1174888 -1 1125315 1174888 -1  -2 
0.0,0.0,8.0,0.0,8,74,0.0,956874 -1 1125315 -1 1125315 -1 1125315 1174888 -1 1125315 -1 1125315 -1 1174888 -1  -2 
0.0,0.0,8.0,0.0,8,74,0.0,956874 -1 1125315 -1 1125315 -1 1174888 -1 1125315 -1 1174888 -1 1125315 1174888 -1  -2 
0.0,0.0,8.0,0.0,8,74,0.0,1125315 1174888 -1 1125315 -1 1125315 -1 1125315 -1 1125315 -1 1125315 1174888 -1  -2 
0.0,0.0,9.0,0.0,9,74,0.0,1125315 1174888 -1 1125315 -1 1125315 -1 1125315 1174888 -1 1125315 1174888 -1  -2 
0.0,0.0,9.0,0.0,9,74,0.0,956874 -1 1125315 -1 1125315 -1 1125315 -1 1125315 1174888 -1 1125315 -1  -2 
0.0,0.0,8.0,0.0,8,74,0.0,956874 -1 1125315 -1 1125315 -1 1125315 1174888 -1 1125315 -1 1154343 -1  -2 
0.0,0.0,8.0,0.0,8,74,0.0,956874 -1 1174888 -1 1174888 -1 1125315 -1 1125315 1174888 -1 1174888 -1  -2 
0.0,0.0,8.0,0.0,8,74,0.0,1125315 1174888 -1 1125315 1174888 -1 1125315 -1 1125315 -1 1154029 -1  -2 
0.0,0.0,8.0,0.0,8,74,0.0,1125315 1174888 -1 1125315 1174888 -1 1125315 -1 1125315 -1 1154343 -1  -2 
0.0,0.0,9.0,0.0,9,74,0.0,1125315 1174888 -1 1125315 1174888 -1 1153013 -1 1125315 1174888 -1  -2 
0.0,0.0,8.0,0.0,8,74,0.0,1125315 1174888 -1 1125315 1174888 -1 1713332 -1 1125315 1174888 -1  -2 
0.0,0.0,8.0,0.0,8,74,0.0,1713332 -1 1125315 -1 1125315 -1 1125315 -1 1713332 -1 1125315 -1 1174888 -1  -2 
0.0,0.0,8.0,0.0,8,74,0.0,956874 -1 956874 -1 956874 -1 1125315 -1 1125315 -1 956874 -1  -2 
0.0,0.0,10.0,0.0,10,74,0.0,956874 -1 1125315 -1 956874 -1 1125315 -1 1125315 1174888 -1  -2 
0.0,0.0,8.0,0.0,8,74,0.0,974166 -1 974166 -1 1125315 1174888 -1 1125315 1174888 -1  -2 
0.0,0.0,8.0,0.0,8,74,0.0,1174888 -1 1125315 -1 1125315 1174888 -1 1125315 -1 956874 -1  -2 
0.0,0.0,9.0,0.0,9,74,0.0,1125315 -1 1125315 1174888 -1 1125315 1174888 -1 1154029 -1  -2 
0.0,0.0,8.0,0.0,8,74,0.0,956874 -1 1125315 -1 1125315 -1 1125315 -1 1125315 -1 1713332 -1  -2 
0.0,0.0,8.0,0.0,8,74,0.0,1125315 1174888 -1 1125315 1174888 -1 1797513 -1 1154029 -1  -2 
0.0,0.0,8.0,0.0,8,74,0.0,1125315 1174888 -1 1705674 1836430 -1 1125315 -1 1125315 -1  -2 
0.0,0.0,8.0,0.0,8,74,0.0,1713332 1759842 -1 1713332 -1 1125315 -1 1125315 -1 956874 -1  -2 
0.0,0.0,8.0,0.0,8,74,0.0,1797513 -1 1705674 1836430 -1 1125315 1174888 -1 1125315 -1  -2 
0.0,0.0,8.0,0.0,8,74,0.0,956874 -1 1125315 -1 939506 967823 986417 19049105 -1  -2 
0.0,0.0,8.0,0.0,8,74,0.0,1125315 -1 939506 967823 986417 19049105 -1 956874 -1  -2 
0.0,0.0,8.0,0.0,8,74,0.0,1539403 -1 1125315 1174888 -1 1125315 1174888 -1 19121608 -1  -2 
0.0,0.0,9.0,0.0,9,74,0.0,956874 -1 956874 -1 956874 -1 956874 -1 956874 -1  -2 
0.0,0.0,8.0,0.0,8,74,0.0,1125315 -1 1125315 -1 1174888 -1 1125315 -1 903963 -1  -2 
0.0,0.0,8.0,0.0,8,74,0.0,1125315 -1 1125315 -1 1154343 -1 1125315 -1 1502905 -1  -2 
0.0,0.0,8.0,0.0,8,74,0.0,1125315 -1 1786621 -1 1174888 -1 1174888 -1 1154029 -1  -2 
0.0,0.0,9.0,0.0,9,74,0.0,1125315 -1 1125315 1174888 -1 1539403 -1 1539403 -1  -2 
0.0,0.0,8.0,0.0,8,74,0.0,1713332 -1 1786621 -1 1125315 -1 1125315 1174888 -1  -2 
0.0,0.0,8.0,0.0,8,74,0.0,19001311 -1 19001311 -1 19001311 -1 19001311 -1 19001311 -1  -2 
0.0,0.0,8.0,0.0,8,74,0.0,708298 1154029 -1 708298 1154029 -1  -2 
0.0,0.0,9.0,0.0,9,74,0.0,974166 -1 974166 -1 974166 -1 956874 -1  -2 
0.0,0.0,8.0,0.0,8,74,0.0,974166 -1 974166 -1 974166 -1 974166 -1  -2 
0.0,0.0,8.0,0.0,8,74,0.0,1125315 -1 1153664 -1 956874 -1 956874 -1  -2 
0.0,0.0,8.0,0.0,8,74,0.0,1125315 -1 1174888 -1 1332418 -1 1322184 -1  -2 
0.0,0.0,8.0,0.0,8,74,0.0,19001311 -1 1377898 -1 19001311 -1 1377898 -1  -2 
0.0,0.0,8.0,0.0,8,74,0.0,19121608 -1 1377898 -1 19001311 -1 1377898 -1  -2 
0.0,0.0,8.0,0.0,8,74,0.0,19121608 -1 19121608 -1 956874 -1 19121608 -1  -2 
0.0,0.0,9.0,0.0,9,74,0.0,1000560 -1 708298 1154029 -1  -2 
0.0,0.0,10.0,0.0,10,74,0.0,708298 1154029 -1 1000560 -1  -2 
0.0,0.0,8.0,0.0,8,74,0.0,1308216 -1 1503297 -1 956874 -1  -2 
0.0,0.0,8.0,0.0,8,74,0.0,1125315 -1 1742253 -1 1742253 -1  -2 
0.0,0.0,8.0,0.0,8,74,0.0,1377898 -1 1377898 -1 19001311 -1  -2 
0.0,0.0,9.0,0.0,9,74,0.0,1517740 -1 1517740 -1 19001311 -1  -2 
0.0,0.0,9.0,0.0,9,74,0.0,744740 -1 1307046 -1  -2 
0.0,0.0,10.0,0.0,10,74,0.0,19001311 -1 1707687 -1  -2 
0.0,0.0,9.0,0.0,9,74,0.0,19136030 -1 19121608 -1  -2 
0.0,0.0,12.0,0.0,12,74,0.0,1777806 -1  -2 
