notOutlier_Alive,notOutlier_Death,notOutlier_survival_rate,outlier_Alive,outlier_Death,outlier_survival_rate,seq_survival_rate,support,total_patients,fisherScore,seq
800.0,1280.0,0.38462,747.0,0.0,1,0.54722,2827,9110,0.009603428503290606,1734104 -1 -2
689.0,1054.0,0.3953,637.0,0.0,1,0.55714,2380,9110,0.008439687897265409,1506270 -1 -2
532.0,944.0,0.36043,538.0,0.0,1,0.53128,2014,9110,0.0066494306678856075,974166 -1 -2
489.0,1044.0,0.31898,541.0,0.0,1,0.49662,2074,9110,0.0055641547437945025,1797513 -1 -2
554.0,1027.0,0.35041,537.0,0.0,1,0.51511,2118,9110,0.004302642830519902,1125315 -11125315 -11125315 -1 -2
886.0,1275.0,0.41,693.0,0.0,1,0.55326,2854,9110,0.003908839284780091,19121608 -1 -2
494.0,917.0,0.35011,475.0,0.0,1,0.51379,1886,9110,0.003449813768289874,1125315 -11174888 -11125315 -1 -2
568.0,938.0,0.37716,492.0,0.0,1,0.53053,1998,9110,0.002866686119125795,1125315 -11713332 -1 -2
405.0,1134.0,0.26316,499.0,0.0,1,0.44357,2038,9110,0.002741957602010184,1154343 -1 -2
509.0,930.0,0.35372,469.0,0.0,1,0.51258,1908,9110,0.0026448237955591525,1125315 -11125315 -11174888 -1 -2
1012.0,1004.0,0.50198,629.0,0.0,1,0.62042,2645,9110,0.002624313548575826,1539403 -1 -2
634.0,814.0,0.43785,467.0,0.0,1,0.57493,1915,9110,0.002406623298034077,1125315 -11307046 -1 -2
546.0,930.0,0.36992,470.0,0.0,1,0.5221,1946,9110,0.002164860081517219,1713332 -11125315 -1 -2
569.0,976.0,0.36828,478.0,0.0,1,0.51755,2023,9110,0.0016607581231695805,1125315 1174888 -11125315 1174888 -1 -2
487.0,1100.0,0.30687,487.0,0.0,1,0.46962,2074,9110,0.0015548952205173187,1551099 -1 -2
649.0,818.0,0.4424,444.0,0.0,1,0.57195,1911,9110,0.0011735962568692195,1307046 -11125315 -1 -2
552.0,988.0,0.35844,462.0,0.0,1,0.50649,2002,9110,0.0011037945000002777,1786621 -1 -2
464.0,1239.0,0.27246,504.0,0.0,1,0.4386,2207,9110,0.0010258301568524236,1742253 -1 -2
1368.0,1079.0,0.55905,703.0,0.0,1,0.65746,3150,9110,0.0010136363907463247,1322184 -1 -2
1059.0,858.0,0.55243,560.0,0.0,1,0.65361,2477,9110,9.707872748330979E-4,1361711 -1 -2
1079.0,1170.0,0.47977,648.0,0.0,1,0.59613,2897,9110,9.46003085476893E-4,1308216 -1 -2
413.0,1052.0,0.28191,436.0,0.0,1,0.44661,1901,9110,9.207117838960648E-4,1000560 -1 -2
600.0,1439.0,0.29426,591.0,0.0,1,0.45285,2630,9110,9.197848403038845E-4,19049105 -1 -2
558.0,1057.0,0.34551,469.0,0.0,1,0.4928,2084,9110,6.955363366492437E-4,1154029 -1 -2
582.0,1126.0,0.34075,466.0,0.0,1,0.48206,2174,9110,1.5082907035861545E-4,1124957 -1 -2
1022.0,910.0,0.52899,520.0,0.0,1,0.62887,2452,9110,9.777307585215964E-5,1545958 -1 -2
420.0,1080.0,0.28,405.0,0.0,1,0.43307,1905,9110,8.187326234841242E-5,1518254 -1 -2
441.0,1534.0,0.22329,513.0,0.0,1,0.38344,2488,9110,1.1316260418299231E-6,956874 -1 -2
