notOutlier_Alive,notOutlier_Death,notOutlier_survival_rate,outlier_Alive,outlier_Death,outlier_survival_rate,seq_survival_rate,support,total_patients,fisherScore,seq
463.0,478.0,0.49203,30.0,0.0,1,0.50772,971,9110,0.0017490967024524026,1786621 -1 1125315 1174888 -1  -2 
495.0,582.0,0.45961,33.0,0.0,1,0.47568,1110,9110,0.001731892479007193,1125315 1153664 -1  -2 
403.0,543.0,0.426,30.0,0.0,1,0.44365,976,9110,0.0017224257163656873,1713332 -1 19049105 -1  -2 
724.0,404.0,0.64184,34.0,0.0,1,0.65232,1162,9110,0.001703755457863588,1307046 -1 1322184 -1  -2 
421.0,487.0,0.46366,29.0,0.0,1,0.48026,937,9110,0.0016927544276676629,1125315 -1 1174888 -1 1124957 -1  -2 
523.0,478.0,0.52248,31.0,0.0,1,0.53682,1032,9110,0.0016661090264124734,1125315 -1 1713332 -1 1713332 -1  -2 
472.0,442.0,0.51641,29.0,0.0,1,0.53128,943,9110,0.001660740187328933,1713332 -1 1125315 -1 1125315 1174888 -1  -2 
547.0,420.0,0.56567,30.0,0.0,1,0.57874,997,9110,0.0016141981231593465,1174888 -1 1125315 -1 1734104 -1  -2 
378.0,507.0,0.42712,28.0,0.0,1,0.44469,913,9110,0.0015837750625090888,1125315 -1 744740 -1  -2 
462.0,424.0,0.52144,28.0,0.0,1,0.53611,914,9110,0.0015785426707546307,1174888 -1 1734104 -1 1174888 -1  -2 
408.0,478.0,0.4605,28.0,0.0,1,0.47702,914,9110,0.0015785426707546307,1153664 -1 1125315 -1  -2 
463.0,468.0,0.49731,29.0,0.0,1,0.5125,960,9110,0.0015728554846248092,1797513 -1 1125315 1174888 -1  -2 
549.0,433.0,0.55906,30.0,0.0,1,0.57213,1012,9110,0.00154049300153863,1125315 -1 974166 -1  -2 
518.0,424.0,0.54989,29.0,0.0,1,0.56334,971,9110,0.0015181358835462716,1713332 -1 19121608 -1  -2 
526.0,507.0,0.5092,31.0,0.0,1,0.5235,1064,9110,0.001512370245725282,1734104 -1 1125315 -1 1125315 -1  -2 
425.0,608.0,0.41142,31.0,0.0,1,0.42857,1064,9110,0.001512370245725282,1125315 1174888 -1 1742253 -1  -2 
558.0,569.0,0.49512,33.0,0.0,1,0.50948,1160,9110,0.0015011116340472822,1124957 -1 1174888 -1  -2 
349.0,553.0,0.38692,28.0,0.0,1,0.40538,930,9110,0.0014968236163131062,1742253 -1 1742253 -1  -2 
637.0,400.0,0.61427,31.0,0.0,1,0.62547,1068,9110,0.0014940162280242147,1125315 1174888 -1 1539403 -1  -2 
420.0,572.0,0.42339,30.0,0.0,1,0.44031,1022,9110,0.001492949767842961,1154343 -1 1154343 -1  -2 
324.0,628.0,0.34034,29.0,0.0,1,0.35984,981,9110,0.001469799175326948,906780 -1  -2 
524.0,395.0,0.57018,28.0,0.0,1,0.58289,947,9110,0.0014139755164417635,1308216 -1 1713332 -1  -2 
469.0,543.0,0.46344,30.0,0.0,1,0.47889,1042,9110,0.001401526663833574,1125315 -1 1125315 -1 1124957 -1  -2 
513.0,641.0,0.44454,33.0,0.0,1,0.45998,1187,9110,0.001387374973440164,1154343 -1 1125315 -1  -2 
586.0,396.0,0.59674,29.0,0.0,1,0.60831,1011,9110,0.001332440498436382,1734104 -1 1307046 -1  -2 
418.0,474.0,0.46861,27.0,0.0,1,0.48422,919,9110,0.0013303941414658138,1125315 1174888 -1 1153013 -1  -2 
756.0,609.0,0.55385,37.0,0.0,1,0.56562,1402,9110,0.0013114628012570737,1307046 -1 1125315 1174888 -1  -2 
607.0,571.0,0.51528,33.0,0.0,1,0.52849,1211,9110,0.001292166830255472,781039 -1  -2 
633.0,405.0,0.60983,30.0,0.0,1,0.62079,1068,9110,0.001289606213008035,1307046 -1 1734104 -1  -2 
462.0,537.0,0.46246,29.0,0.0,1,0.47763,1028,9110,0.0012594231747984593,1125315 -1 1705674 1836430 -1  -2 
509.0,400.0,0.55996,27.0,0.0,1,0.57265,936,9110,0.0012530614265219616,1174888 -1 1174888 -1 1734104 -1  -2 
460.0,461.0,0.49946,27.0,0.0,1,0.51371,948,9110,0.0012007428958080634,1153013 -1 1174888 -1  -2 
756.0,742.0,0.50467,39.0,0.0,1,0.51724,1537,9110,0.0011955813141610175,1346823 -1  -2 
768.0,585.0,0.56763,36.0,0.0,1,0.57883,1389,9110,0.0011836316358270927,1125315 1174888 -1 1307046 -1  -2 
420.0,507.0,0.45307,27.0,0.0,1,0.46855,954,9110,0.001175262699724943,1124957 -1 1124957 -1  -2 
674.0,441.0,0.60448,31.0,0.0,1,0.61518,1146,9110,0.0011707486474155035,1539403 -1 1125315 1174888 -1  -2 
727.0,584.0,0.55454,35.0,0.0,1,0.56612,1346,9110,0.0011598779630681909,1125315 1174888 -1 1734104 -1  -2 
622.0,496.0,0.55635,31.0,0.0,1,0.56832,1149,9110,0.0011595368881553263,1308216 -1 1125315 1174888 -1  -2 
415.0,470.0,0.46893,26.0,0.0,1,0.48408,911,9110,0.0011593523617841066,1174888 -1 1705674 -1  -2 
646.0,479.0,0.57422,31.0,0.0,1,0.58564,1156,9110,0.0011337021637578487,1125315 1174888 -1 1308216 -1  -2 
709.0,520.0,0.57689,33.0,0.0,1,0.58796,1262,9110,0.0011068255249279387,1308216 -1 1308216 -1  -2 
