notOutlier_Alive,notOutlier_Death,notOutlier_survival_rate,outlier_Alive,outlier_Death,outlier_survival_rate,seq_survival_rate,support,total_patients,fisherScore,seq
1625.0,2255.0,0.41881,57.0,0.0,1,0.42723,3893,14711,0.0010578368550548953,1742253 -1 -2
1481.0,1694.0,0.46646,49.0,0.0,1,0.47457,3169,14711,0.001054958341572172,956874 -11125315 -1 -2
1461.0,1773.0,0.45176,49.0,0.0,1,0.45995,3216,14711,9.818434701547522E-4,1125315 -119049105 -1 -2
1506.0,1947.0,0.43614,51.0,0.0,1,0.44435,3445,14711,9.321038366698006E-4,1125315 -1956874 -1 -2
1360.0,1592.0,0.4607,45.0,0.0,1,0.4688,2939,14711,9.025094533515831E-4,956874 -1956874 -1 -2
1294.0,1643.0,0.44059,44.0,0.0,1,0.44884,2934,14711,8.180518717988904E-4,1174888 -1956874 -1 -2
1721.0,1865.0,0.47992,50.0,0.0,1,0.48707,3559,14711,7.015601616060315E-4,1797513 -1 -2
1630.0,1694.0,0.49037,46.0,0.0,1,0.49733,3315,14711,6.062114953795361E-4,1786621 -1 -2
1511.0,1491.0,0.50333,40.0,0.0,1,0.50986,2991,14711,4.1606217861670555E-4,1125315 -11125315 -11174888 -1 -2
1687.0,1697.0,0.49852,44.0,0.0,1,0.50496,3371,14711,4.0882121417088103E-4,1125315 -11125315 -11125315 -1 -2
1810.0,1397.0,0.56439,42.0,0.0,1,0.57002,3173,14711,4.015096379606331E-4,974166 -1 -2
1695.0,1525.0,0.5264,42.0,0.0,1,0.5325,3201,14711,3.9214717629064536E-4,1125315 -11713332 -1 -2
1496.0,1466.0,0.50506,39.0,0.0,1,0.5115,2950,14711,3.76911842842758E-4,1125315 -11174888 -11125315 -1 -2
1614.0,1554.0,0.50947,41.0,0.0,1,0.51574,3152,14711,3.6294959732331114E-4,1125315 1174888 -11125315 1174888 -1 -2
1393.0,1599.0,0.46557,38.0,0.0,1,0.47228,2975,14711,2.93140065587631E-4,19049105 -11125315 -1 -2
1647.0,2047.0,0.44586,45.0,0.0,1,0.45253,3693,14711,2.7385683481902066E-4,1551099 -1 -2
1500.0,1651.0,0.47604,39.0,0.0,1,0.48245,3141,14711,2.5471885392667055E-4,1153013 -1 -2
1830.0,2126.0,0.46259,46.0,0.0,1,0.46877,3958,14711,1.92799045524719E-4,1154343 -1 -2
2021.0,1869.0,0.51954,45.0,0.0,1,0.52503,3870,14711,1.784348172340846E-4,1307046 -1 -2
1593.0,1512.0,0.51304,36.0,0.0,1,0.51862,3085,14711,1.3585422743500017E-4,1713332 -11125315 -1 -2
2678.0,2307.0,0.53721,54.0,0.0,1,0.54217,4925,14711,1.1127071016751171E-4,19121608 -1 -2
1590.0,2011.0,0.44154,38.0,0.0,1,0.44738,3586,14711,4.546362210419381E-5,1124957 -1 -2
2178.0,1753.0,0.55406,41.0,0.0,1,0.55866,3897,14711,4.085619774979693E-5,1308216 -1 -2
2064.0,1728.0,0.5443,33.0,0.0,1,0.54824,3764,14711,1.7886598839827814E-5,1506270 -1 -2
1383.0,2070.0,0.40052,30.0,0.0,1,0.40568,3436,14711,1.6451752634160357E-5,1518254 -1 -2
1386.0,1986.0,0.41103,34.0,0.0,1,0.41691,3360,14711,1.464295213981978E-5,1000560 -1 -2
2480.0,2157.0,0.53483,46.0,0.0,1,0.5394,4591,14711,1.3165817117387716E-5,1734104 -1 -2
1509.0,1421.0,0.51502,27.0,0.0,1,0.51945,2902,14711,9.020624516515617E-7,708298 -1 -2
1611.0,1968.0,0.45013,34.0,0.0,1,0.4553,3552,14711,3.3684086743896965E-7,1154029 -1 -2
