Outlier_Predict_Alive,outlier_Death,outlier_Predict_Death,Outlier_Alive,support,total_patients,fisherScore,seq
182.0,0.0,0.0,0.0,182,1642,0.001073143941116912,1154029 -1 1125315 -1  -2 
182.0,0.0,0.0,0.0,182,1642,0.001073143941116912,1000560 -1 1518254 -1  -2 
171.0,0.0,3.0,0.0,174,1642,0.0010661141681694009,1174888 -1 19049105 -1 956874 -1  -2 
180.0,0.0,0.0,0.0,180,1642,0.001059885195927349,1125315 -1 1174888 -1 1125315 -1 1125315 1174888 -1  -2 
180.0,0.0,0.0,0.0,180,1642,0.001059885195927349,1713332 -1 1124957 -1  -2 
179.0,0.0,0.0,0.0,179,1642,0.0010532695487416664,791967 -1 1125315 -1  -2 
179.0,0.0,0.0,0.0,179,1642,0.0010532695487416664,1153013 -1 956874 -1  -2 
178.0,0.0,0.0,0.0,178,1642,0.0010466630265865851,956874 -1 1000560 -1  -2 
173.0,0.0,3.0,0.0,176,1642,0.0010317985096190484,1307046 -1 1307046 -1  -2 
174.0,0.0,0.0,0.0,174,1642,0.0010203278117235498,19049105 -1 1506270 -1  -2 
174.0,0.0,0.0,0.0,174,1642,0.0010203278117235498,1153013 -1 1742253 -1  -2 
259.0,0.0,4.0,0.0,263,1642,0.0010086210331170626,1734104 -1 956874 -1  -2 
172.0,0.0,0.0,0.0,172,1642,0.0010072144664105688,1501700 -1 1125315 -1  -2 
172.0,0.0,0.0,0.0,172,1642,0.0010072144664105688,1713332 -1 1797513 -1  -2 
171.0,0.0,0.0,0.0,171,1642,0.0010006712941095825,1518254 -1 1129625 -1  -2 
169.0,0.0,0.0,0.0,169,1642,9.876118576870512E-4,1325608 -1  -2 
168.0,0.0,0.0,0.0,168,1642,9.810955567049872E-4,1154029 -1 1000560 -1  -2 
168.0,0.0,0.0,0.0,168,1642,9.810955567049872E-4,1192710 -1  -2 
166.0,0.0,0.0,0.0,166,1642,9.680896974261478E-4,1518254 -1 19055720 -1  -2 
185.0,0.0,3.0,0.0,188,1642,8.453744569954469E-4,19121608 -1 956874 -1  -2 
187.0,0.0,3.0,0.0,190,1642,8.172820368742182E-4,1174888 -1 1307046 -1  -2 
190.0,0.0,3.0,0.0,193,1642,7.766021315652955E-4,1125315 -1 974166 -1  -2 
192.0,0.0,3.0,0.0,195,1642,7.504208190504091E-4,1307046 -1 1174888 -1  -2 
193.0,0.0,3.0,0.0,196,1642,7.37603401735688E-4,1112921 1154343 -1  -2 
193.0,0.0,3.0,0.0,196,1642,7.37603401735688E-4,904453 -1  -2 
294.0,0.0,1.0,0.0,295,1642,6.839520241219436E-4,1110410 -1  -2 
199.0,0.0,3.0,0.0,202,1642,6.643594268800058E-4,1125315 -1 1201620 -1  -2 
270.0,0.0,1.0,0.0,271,1642,5.471834153660577E-4,989878 -1  -2 
270.0,0.0,1.0,0.0,271,1642,5.471834153660577E-4,1346823 -1  -2 
264.0,0.0,1.0,0.0,265,1642,5.14472533271837E-4,922570 -1  -2 
215.0,0.0,3.0,0.0,218,1642,4.965990342718414E-4,1154343 -1 1551099 -1  -2 
221.0,0.0,3.0,0.0,224,1642,4.427837076430646E-4,1125315 -1 1307046 -1  -2 
223.0,0.0,3.0,0.0,226,1642,4.258362006496749E-4,956874 -1 1551099 -1  -2 
239.0,0.0,1.0,0.0,240,1642,3.8500981661258757E-4,1125315 -1 791967 -1  -2 
227.0,0.0,1.0,0.0,228,1642,3.2706850397362246E-4,1125315 1174888 -1 1124957 -1  -2 
215.0,0.0,1.0,0.0,216,1642,2.721313287585566E-4,1707164 -1  -2 
211.0,0.0,1.0,0.0,212,1642,2.545324990456632E-4,708298 1154029 -1  -2 
206.0,0.0,1.0,0.0,207,1642,2.3306432572908095E-4,1716903 -1  -2 
205.0,0.0,1.0,0.0,206,1642,2.2884344091801277E-4,778711 -1  -2 
190.0,0.0,1.0,0.0,191,1642,1.686356574116154E-4,1136980 -1  -2 
186.0,0.0,1.0,0.0,187,1642,1.5363116196521516E-4,997881 -1  -2 
