notOutlier_Alive,notOutlier_Death,notOutlier_survival_rate,outlier_Alive,outlier_Death,outlier_survival_rate,seq_survival_rate,support,total_patients,fisherScore,seq
857.0,1233.0,0.41005,8.0,0.0,1,0.4123,2052,14711,0.0018369624348190032,970250 -1  -2 
634.0,866.0,0.42267,5.0,0.0,1,0.42458,1491,14711,8.792503876511395E-4,956874 -1 1551099 -1  -2 
858.0,651.0,0.56859,5.0,0.0,1,0.57001,1474,14711,8.712118119380026E-4,967823 986417 -1  -2 
683.0,852.0,0.44495,5.0,0.0,1,0.44675,1524,14711,8.48533244574207E-4,19049105 -1 1154343 -1  -2 
754.0,944.0,0.44405,5.0,0.0,1,0.44568,1686,14711,7.226354990579945E-4,956874 -1 1154343 -1  -2 
854.0,883.0,0.49165,5.0,0.0,1,0.49311,1703,14711,6.961323120440384E-4,956874 -1 956874 -1 956874 -1  -2 
1176.0,1432.0,0.45092,6.0,0.0,1,0.45218,2562,14711,5.80756190816684E-4,956874 -1 19049105 -1  -2 
757.0,1188.0,0.3892,5.0,0.0,1,0.39077,1937,14711,5.734414536895294E-4,948078 -1  -2 
695.0,827.0,0.45664,4.0,0.0,1,0.45806,1505,14711,4.631199056934632E-4,904453 -1  -2 
687.0,867.0,0.44208,4.0,0.0,1,0.44352,1547,14711,4.4612876860092017E-4,1154343 -1 1551099 -1  -2 
747.0,832.0,0.47308,4.0,0.0,1,0.47442,1547,14711,4.3336387444613137E-4,956874 -1 956874 -1 1125315 -1  -2 
635.0,945.0,0.4019,4.0,0.0,1,0.40341,1567,14711,4.328622354466595E-4,1551099 -1 956874 -1  -2 
808.0,906.0,0.47141,4.0,0.0,1,0.47264,1687,14711,3.712981142822347E-4,1307046 -1 956874 -1  -2 
1127.0,1349.0,0.45517,5.0,0.0,1,0.45627,2430,14711,3.582979750342508E-4,19049105 -1 956874 -1  -2 
757.0,993.0,0.43257,4.0,0.0,1,0.43387,1737,14711,3.5648674755321967E-4,1154343 -1 956874 -1  -2 
796.0,967.0,0.4515,4.0,0.0,1,0.45274,1751,14711,3.512996203756867E-4,1551099 -1 1551099 -1  -2 
994.0,1051.0,0.48606,4.0,0.0,1,0.48707,2014,14711,2.564905533571143E-4,923645 -1  -2 
633.0,834.0,0.43149,3.0,0.0,1,0.43265,1450,14711,2.0447674199415203E-4,1551099 -1 19049105 -1  -2 
726.0,755.0,0.49021,3.0,0.0,1,0.49124,1458,14711,2.0019784828508938E-4,956874 -1 1174888 -1 1174888 -1  -2 
726.0,783.0,0.48111,3.0,0.0,1,0.48214,1486,14711,1.919113322384345E-4,1174888 -1 956874 -1 1174888 -1  -2 
750.0,773.0,0.49245,3.0,0.0,1,0.49345,1498,14711,1.8789880038782108E-4,1174888 -1 1705674 1836430 -1  -2 
778.0,760.0,0.50585,3.0,0.0,1,0.50681,1512,14711,1.8369284360957196E-4,1307046 -1 19049105 -1  -2 
692.0,849.0,0.44906,3.0,0.0,1,0.45013,1522,14711,1.82862983808867E-4,1154343 -1 19049105 -1  -2 
503.0,1063.0,0.3212,3.0,0.0,1,0.3225,1556,14711,1.760904118709213E-4,19136030 -1  -2 
763.0,810.0,0.48506,3.0,0.0,1,0.48604,1548,14711,1.7423882849601163E-4,956874 -1 1174888 -1 1125315 -1  -2 
851.0,731.0,0.53793,3.0,0.0,1,0.5388,1560,14711,1.7188624877949847E-4,1125315 1174888 -1 1307046 -1  -2 
818.0,775.0,0.5135,3.0,0.0,1,0.51441,1550,14711,1.690529810490349E-4,19049105 -1 19121608 -1  -2 
842.0,779.0,0.51943,3.0,0.0,1,0.52032,1588,14711,1.6204396110568978E-4,997881 -1  -2 
620.0,1027.0,0.37644,3.0,0.0,1,0.37758,1634,14711,1.5578640467093976E-4,956874 -1 1742253 -1  -2 
802.0,875.0,0.47823,3.0,0.0,1,0.47917,1649,14711,1.488515457384516E-4,1125315 -1 956874 -1 1174888 -1  -2 
898.0,782.0,0.53452,3.0,0.0,1,0.53535,1653,14711,1.48174300015474E-4,586413 -1  -2 
762.0,921.0,0.45276,3.0,0.0,1,0.45374,1654,14711,1.4749994529760622E-4,1174888 -1 1174888 -1 956874 -1  -2 
806.0,884.0,0.47692,3.0,0.0,1,0.47785,1658,14711,1.4593760924205747E-4,956874 -1 1125315 -1 956874 -1  -2 
796.0,928.0,0.46172,3.0,0.0,1,0.46265,1694,14711,1.3856578840086697E-4,1125315 -1 956874 -1 956874 -1  -2 
1184.0,944.0,0.55639,0.0,0.0,?,0.55639,2090,14711,1.3808320152045522E-4,1125315 1174888 -1 1734104 -1  -2 
1133.0,988.0,0.53418,0.0,0.0,?,0.53418,2080,14711,1.3755238618207486E-4,1734104 -1 1125315 1174888 -1  -2 
662.0,1087.0,0.3785,3.0,0.0,1,0.37957,1743,14711,1.3336614375044622E-4,1112921 -1  -2 
779.0,1202.0,0.39324,0.0,0.0,?,0.39324,1952,14711,1.270587871589896E-4,1125315 -1 1000560 -1  -2 
841.0,945.0,0.47088,3.0,0.0,1,0.47177,1762,14711,1.2599608464279838E-4,1125315 1174888 -1 1551099 -1  -2 
894.0,1018.0,0.46757,0.0,0.0,?,0.46757,1873,14711,1.2197147431483241E-4,1125315 -1 19049105 -1 1125315 -1  -2 
934.0,975.0,0.48926,0.0,0.0,?,0.48926,1881,14711,1.217515319524161E-4,1153013 -1 1125315 -1  -2 
1080.0,816.0,0.56962,0.0,0.0,?,0.56962,1861,14711,1.2079963945725048E-4,1713332 -1 1734104 -1  -2 
759.0,1129.0,0.40201,0.0,0.0,?,0.40201,1856,14711,1.2021481968034392E-4,1125315 -1 1154029 -1  -2 
1046.0,837.0,0.5555,0.0,0.0,?,0.5555,1841,14711,1.1984967807981846E-4,1734104 -1 1713332 -1  -2 
1051.0,825.0,0.56023,0.0,0.0,?,0.56023,1831,14711,1.193389582278288E-4,778711 -1  -2 
1026.0,840.0,0.54984,0.0,0.0,?,0.54984,1836,14711,1.1861032494721291E-4,1125315 -1 1125315 -1 1734104 -1  -2 
970.0,874.0,0.52603,0.0,0.0,?,0.52603,1813,14711,1.1701132206692189E-4,1125315 -1 1734104 -1 1125315 -1  -2 
872.0,971.0,0.47314,0.0,0.0,?,0.47314,1811,14711,1.1693877014930725E-4,1125315 1153664 -1  -2 
817.0,1021.0,0.4445,0.0,0.0,?,0.4445,1810,14711,1.1657617979827088E-4,1125315 1174888 -1 1124957 -1  -2 
795.0,1018.0,0.4385,0.0,0.0,?,0.4385,1785,14711,1.1476744879061767E-4,797399 -1  -2 
949.0,860.0,0.5246,0.0,0.0,?,0.5246,1774,14711,1.1447870291642774E-4,1734104 -1 1125315 -1 1125315 -1  -2 
787.0,957.0,0.45126,0.0,0.0,?,0.45126,1722,14711,1.0981157329923829E-4,1742253 -1 1125315 1174888 -1  -2 
660.0,1065.0,0.38261,0.0,0.0,?,0.38261,1710,14711,1.0845616815220354E-4,906780 -1  -2 
884.0,826.0,0.51696,0.0,0.0,?,0.51696,1690,14711,1.0738891243705378E-4,1149380 -1 1125315 -1  -2 
846.0,863.0,0.49503,0.0,0.0,?,0.49503,1691,14711,1.0731784969315668E-4,1734104 -1 1154343 -1  -2 
