Outlier_Predict_Alive,outlier_Death,outlier_Predict_Death,Outlier_Alive,support,total_patients,fisherScore,seq
0.0,0.0,2.0,0.0,2,10,0.0,923645 -1 777221 -1 703547 -1 1036228 -1  -2 
0.0,0.0,2.0,0.0,2,10,0.0,939976 967823 986417 19049105 -1  -2 
0.0,0.0,2.0,0.0,2,10,0.0,956874 -1 956874 -1 970250 -1  -2 
0.0,0.0,2.0,0.0,2,10,0.0,987245 1106776 1149380 -1  -2 
0.0,0.0,2.0,0.0,2,10,0.0,988095 -1 956874 -1 1742253 -1  -2 
0.0,0.0,2.0,0.0,2,10,0.0,956874 -1 903963 -1  -2 
0.0,0.0,2.0,0.0,2,10,0.0,929887 1551099 -1  -2 
0.0,0.0,2.0,0.0,2,10,0.0,948078 -1  -2 
0.0,0.0,2.0,0.0,2,10,0.0,19090761 -1  -2 
